IDEAL RETAIL,PREDICTED RETAIL,ERR T RETAIL,PREDICTED COOLING RETAIL,IDEAL COOLING RETAIL,ERR COOLING RETAIL,,,,IDEAL RESTAURANT,PREDICTED RESTAURANT,ERR T RESTAURANT,PREDICTED COOLING RESTAURANT,IDEAL COOLING RESTAURANT,ERR COOLING RESTAURANT,,,,IDEAL SMALL OFFICE,PREDICTED SMALL OFFICE,ERR T SMALL OFFICE,PREDICTED COOLING SMALL OFFICE,IDEAL COOLING SMALL OFFICE,ERR COOLING SMALL OFFICE,,,,,IDEAL MEDIUM OFFICE,PREDICTED MEDIUM OFFICE,ERR T MEDIUM OFFICE,PREDICTED COOLING MEDIUM OFFICE,IDEAL COOLING MEDIUM OFFICE,ERR COOLING MEDIUM OFFICE
24.9563621486171,24.9563621486171,0,0,0,0,,,,25.5190105440778,25.5190105440778,0,0,0,0,,,,28.1219624277523,28.1219624277523,0,0,0,0,,,,,35.4497517064897,35.4497517064897,0,0,0,0
24.6911341262747,24.6911341262747,0,0,0,0,,,,25.2234443997604,25.2234443997604,0,0,0,0,,,,27.9394669265402,27.9394669265402,0,0,0,0,,,,,35.271348072631,35.271348072631,0,0,0,0
24.450628373707,24.450628373707,0,0,0,0,,,,24.9350278985626,24.9350278985626,0,0,0,0,,,,27.7802986138837,27.7802986138837,0,0,0,0,,,,,35.1160181996213,35.1160181996213,0,0,0,0
24.242139994942,24.242139994942,0,0,0,0,,,,24.9858423442763,24.9858423442763,0,0,0,0,,,,27.6426251310575,27.6426251310575,0,0,0,0,,,,,34.9769252615172,34.9769252615172,0,0,0,0
24.0524898627174,24.0524898627174,0,0,0,0,,,,23.8762201982432,23.8762201982432,0,19507.4488382319,19486.5173901881,0.107415027655686,,,,27.5263836869264,27.5263836869264,0,0,0,0,,,,,34.8574031842529,34.8574031842529,0,0,0,0
23.9471886753125,23.9471886753125,0,0,0,0,,,,23.4016840245996,23.4016840245996,0,16069.6819502294,16064.4043664938,0.0328526574350742,,,,27.5784703851797,27.5784703851797,0,0,0,0,,,,,35.0402242858925,35.0402242858925,0,0,0,0
24.0388123892101,24.0388123892101,0,0,0,0,,,,22.3072580000748,22.3072580000748,0,33434.4561689829,33429.6463763752,0.0143878058222645,,,,27.7537223122453,27.7537223122453,0,0,0,0,,,,,35.3266018191603,35.3266018191603,0,0,0,0
24.3138112046872,24.3138112046872,0,12091.2475202731,11927.5663173974,-1.37229337921967,,,,23.0092184469672,23.0092184469672,0,33026.4686430685,33023.2182030512,0.00984289295280756,,,,27.9767495959727,27.9767495959727,0,0,0,0,,,,,35.5939708973609,35.5939708973609,0,0,0,0
24.7877172944904,24.7877172944904,0,3070.465039256,3070.06153614451,-0.0131431603811185,,,,24.6223441166506,24.6223441166506,0,23653.1059452929,23651.4995518068,0.00679193081441504,,,,28.1938823481934,28.1938823481934,0,0,0,0,,,,,35.8147510384007,35.8147510384007,0,0,0,0
25.5398771850533,25.5398771850533,0,10111.6129155523,10148.7023963447,0.365460325309911,,,,25.6811103129785,25.6811103129785,0,26756.3697386269,26754.4407678534,0.00720990877808753,,,,28.3465601398047,28.3465601398047,0,0,0,0,,,,,35.9799250811209,35.9799250811209,0,0,0,0
